"","year","state","measurement.s.","chemical","chemical.type","value","toxin","level"
"167",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","PYRIMETHANIL","FUNGICIDE",-0.673344553263766,"Hormone.Disruptor","suspected"
"170",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","PYRIMETHANIL","FUNGICIDE",-0.673344553263766,"Bee.Toxins","slight"
"180",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","TRIFLUMIZOLE","FUNGICIDE",-1.46967597005894,"Bee.Toxins","slight"
"185",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","ACETAMIPRID","INSECTICIDE",-2.07147337203066,"Bee.Toxins","moderate"
"190",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","BIFENAZATE","INSECTICIDE",-0.70117935225721,"Bee.Toxins","moderate"
"191",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","BIFENTHRIN","INSECTICIDE",-2.21640739675299,"Carcinogen","possible"
"192",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","BIFENTHRIN","INSECTICIDE",-2.21640739675299,"Hormone.Disruptor","suspected"
"194",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","BIFENTHRIN","INSECTICIDE",-2.21640739675299,"Developmental.or.Reproductive.Toxins","present"
"195",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","BIFENTHRIN","INSECTICIDE",-2.21640739675299,"Bee.Toxins","high"
"201",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","HEXYTHIAZOX","INSECTICIDE",-1.73160554640831,"Carcinogen","probable"
"210",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","IMIDACLOPRID","INSECTICIDE",-0.663588378318401,"Bee.Toxins","high"
"211",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","MALATHION","INSECTICIDE",0.688637025082059,"Carcinogen","possible"
"212",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","MALATHION","INSECTICIDE",0.688637025082059,"Hormone.Disruptor","suspected"
"213",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","MALATHION","INSECTICIDE",0.688637025082059,"Neurotoxins","present"
"215",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","MALATHION","INSECTICIDE",0.688637025082059,"Bee.Toxins","high"
"220",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","METHOXYFENOZIDE","INSECTICIDE",-1.74869997976761,"Bee.Toxins","slight"
"221",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","PIPERONYL BUTOXIDE","INSECTICIDE",-0.738144546490681,"Carcinogen","possible"
"222",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","PIPERONYL BUTOXIDE","INSECTICIDE",-0.738144546490681,"Hormone.Disruptor","suspected"
"225",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","PIPERONYL BUTOXIDE","INSECTICIDE",-0.738144546490681,"Bee.Toxins","moderate"
"230",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","PYRIPROXYFEN","INSECTICIDE",-2.70306265959117,"Bee.Toxins","slight"
"240",2019,"CALIFORNIA","MEASURED IN LB / ACRE / APPLICATION","THIAMETHOXAM","INSECTICIDE",-2.78062089393705,"Bee.Toxins","high"
"246",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","BOSCALID","FUNGICIDE",-0.677273831403655,"Carcinogen","possible"
"251",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","CAPTAN","FUNGICIDE",2.34717597632192,"Carcinogen","known"
"270",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","FLUDIOXONIL","FUNGICIDE",-0.673344553263766,"Bee.Toxins","slight"
"272",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","MYCLOBUTANIL","FUNGICIDE",-1.26940060964839,"Hormone.Disruptor","suspected"
"274",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","MYCLOBUTANIL","FUNGICIDE",-1.26940060964839,"Developmental.or.Reproductive.Toxins","present"
"276",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","PROPICONAZOLE","FUNGICIDE",-1.74869997976761,"Carcinogen","possible"
"277",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","PROPICONAZOLE","FUNGICIDE",-1.74869997976761,"Hormone.Disruptor","suspected"
"279",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","PROPICONAZOLE","FUNGICIDE",-1.74869997976761,"Developmental.or.Reproductive.Toxins","present"
"280",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","PROPICONAZOLE","FUNGICIDE",-1.74869997976761,"Bee.Toxins","slight"
"285",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","PYRACLOSTROBIN","FUNGICIDE",-1.14885350510486,"Bee.Toxins","slight"
"286",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","PYRIMETHANIL","FUNGICIDE",-0.124430078378177,"Carcinogen","possible"
"287",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","PYRIMETHANIL","FUNGICIDE",-0.124430078378177,"Hormone.Disruptor","suspected"
"290",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","PYRIMETHANIL","FUNGICIDE",-0.124430078378177,"Bee.Toxins","slight"
"300",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","TRIFLUMIZOLE","FUNGICIDE",-0.59783700075562,"Bee.Toxins","slight"
"305",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","ACETAMIPRID","INSECTICIDE",-1.70374859190534,"Bee.Toxins","moderate"
"310",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","BIFENAZATE","INSECTICIDE",-0.0222456089473197,"Bee.Toxins","moderate"
"311",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","BIFENTHRIN","INSECTICIDE",-1.06131650392441,"Carcinogen","possible"
"312",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","BIFENTHRIN","INSECTICIDE",-1.06131650392441,"Hormone.Disruptor","suspected"
"314",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","BIFENTHRIN","INSECTICIDE",-1.06131650392441,"Developmental.or.Reproductive.Toxins","present"
"315",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","BIFENTHRIN","INSECTICIDE",-1.06131650392441,"Bee.Toxins","high"
"321",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","HEXYTHIAZOX","INSECTICIDE",-1.3130438993803,"Carcinogen","probable"
"330",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","IMIDACLOPRID","INSECTICIDE",-0.231932057347289,"Bee.Toxins","high"
"331",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","MALATHION","INSECTICIDE",1.71757457103868,"Carcinogen","possible"
"332",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","MALATHION","INSECTICIDE",1.71757457103868,"Hormone.Disruptor","suspected"
"333",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","MALATHION","INSECTICIDE",1.71757457103868,"Neurotoxins","present"
"335",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","MALATHION","INSECTICIDE",1.71757457103868,"Bee.Toxins","high"
"340",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","METHOXYFENOZIDE","INSECTICIDE",-1.40649706843741,"Bee.Toxins","slight"
"341",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","PIPERONYL BUTOXIDE","INSECTICIDE",-0.123298216344494,"Carcinogen","possible"
"342",2019,"CALIFORNIA","MEASURED IN LB / ACRE / YEAR","PIPERONYL BUTOXIDE","INSECTICIDE",-0.123298216344494,"Hormone.Disruptor","suspected"
